movie_id,title,cast,crew
8000001,RRR,"[{""gender"": 0, ""id"": 90182742, ""name"": ""N. T. Rama Rao Jr."", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90465740, ""name"": ""Ram Charan"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90892660, ""name"": ""Alia Bhatt"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}, {""gender"": 0, ""id"": 90345318, ""name"": ""Ajay Devgn"", ""cast_id"": 3, ""character"": """", ""credit_id"": ""cc3"", ""order"": 3}]","[{""gender"": 0, ""id"": 90158383, ""name"": ""S. S. Rajamouli"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000002,Baahubali: The Beginning,"[{""gender"": 0, ""id"": 90669622, ""name"": ""Prabhas"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90029793, ""name"": ""Rana Daggubati"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90991205, ""name"": ""Anushka Shetty"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}, {""gender"": 0, ""id"": 90029286, ""name"": ""Tamannaah"", ""cast_id"": 3, ""character"": """", ""credit_id"": ""cc3"", ""order"": 3}]","[{""gender"": 0, ""id"": 90158383, ""name"": ""S. S. Rajamouli"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000003,Baahubali 2: The Conclusion,"[{""gender"": 0, ""id"": 90669622, ""name"": ""Prabhas"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90029793, ""name"": ""Rana Daggubati"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90991205, ""name"": ""Anushka Shetty"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}, {""gender"": 0, ""id"": 90303969, ""name"": ""Ramya Krishnan"", ""cast_id"": 3, ""character"": """", ""credit_id"": ""cc3"", ""order"": 3}]","[{""gender"": 0, ""id"": 90158383, ""name"": ""S. S. Rajamouli"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000004,Pushpa: The Rise,"[{""gender"": 0, ""id"": 90416948, ""name"": ""Allu Arjun"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90414410, ""name"": ""Rashmika Mandanna"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90485828, ""name"": ""Fahadh Faasil"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}]","[{""gender"": 0, ""id"": 90895218, ""name"": ""Sukumar"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000005,Arjun Reddy,"[{""gender"": 0, ""id"": 90746167, ""name"": ""Vijay Deverakonda"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90603660, ""name"": ""Shalini Pandey"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}]","[{""gender"": 0, ""id"": 90805419, ""name"": ""Sandeep Reddy Vanga"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000006,Eega,"[{""gender"": 0, ""id"": 90167027, ""name"": ""Nani"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90724314, ""name"": ""Samantha"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90116605, ""name"": ""Sudeep"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}]","[{""gender"": 0, ""id"": 90158383, ""name"": ""S. S. Rajamouli"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000007,Magadheera,"[{""gender"": 0, ""id"": 90465740, ""name"": ""Ram Charan"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90529420, ""name"": ""Kajal Aggarwal"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90674007, ""name"": ""Dev Gill"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}]","[{""gender"": 0, ""id"": 90158383, ""name"": ""S. S. Rajamouli"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000008,Pokiri,"[{""gender"": 0, ""id"": 90935805, ""name"": ""Mahesh Babu"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90044038, ""name"": ""Ileana D'Cruz"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90331452, ""name"": ""Prakash Raj"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}]","[{""gender"": 0, ""id"": 90921964, ""name"": ""Puri Jagannadh"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000009,Ala Vaikunthapurramuloo,"[{""gender"": 0, ""id"": 90416948, ""name"": ""Allu Arjun"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90182932, ""name"": ""Pooja Hegde"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}, {""gender"": 0, ""id"": 90069629, ""name"": ""Tabu"", ""cast_id"": 2, ""character"": """", ""credit_id"": ""cc2"", ""order"": 2}]","[{""gender"": 0, ""id"": 90018164, ""name"": ""Trivikram Srinivas"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
8000010,Jersey,"[{""gender"": 0, ""id"": 90167027, ""name"": ""Nani"", ""cast_id"": 0, ""character"": """", ""credit_id"": ""cc0"", ""order"": 0}, {""gender"": 0, ""id"": 90098976, ""name"": ""Shraddha Srinath"", ""cast_id"": 1, ""character"": """", ""credit_id"": ""cc1"", ""order"": 1}]","[{""gender"": 0, ""id"": 90667653, ""name"": ""Gowtam Tinnanuri"", ""credit_id"": ""tc0"", ""department"": ""Directing"", ""job"": ""Director""}]"
