budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,streaming
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""History""}]",,8000001,"[{""id"": 2000, ""name"": ""period""}, {""id"": 2001, ""name"": ""revolution""}, {""id"": 2002, ""name"": ""friendship""}, {""id"": 2003, ""name"": ""british raj""}, {""id"": 2004, ""name"": ""freedom fighter""}, {""id"": 2005, ""name"": ""epic""}]",te,RRR,A fictional history of two legendary revolutionaries and their journey away from home before they began fighting for their country in the 1920s.,78,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2022-01-01,0,187,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,RRR,7.8,4200,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""Fantasy""}]",,8000002,"[{""id"": 2000, ""name"": ""epic""}, {""id"": 2001, ""name"": ""kingdom""}, {""id"": 2002, ""name"": ""warrior""}, {""id"": 2003, ""name"": ""waterfall""}, {""id"": 2004, ""name"": ""period""}, {""id"": 2005, ""name"": ""revenge""}]",te,Baahubali: The Beginning,"A young man raised by a tribe learns of his royal heritage and the kingdom of Mahishmati, uncovering the legend of the warrior Baahubali.",70,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2015-01-01,0,159,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Baahubali: The Beginning,7.6,3800,Disney+ Hotstar
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""Fantasy""}]",,8000003,"[{""id"": 2000, ""name"": ""epic""}, {""id"": 2001, ""name"": ""kingdom""}, {""id"": 2002, ""name"": ""betrayal""}, {""id"": 2003, ""name"": ""revenge""}, {""id"": 2004, ""name"": ""period""}, {""id"": 2005, ""name"": ""war""}]",te,Baahubali 2: The Conclusion,Amarendra Baahubali's son sets out to avenge his father's death and reclaim the throne of Mahishmati from the tyrant Bhallaladeva.,74,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2017-01-01,0,167,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Baahubali 2: The Conclusion,8.0,4100,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Crime""}, {""id"": 1002, ""name"": ""Drama""}]",,8000004,"[{""id"": 2000, ""name"": ""smuggling""}, {""id"": 2001, ""name"": ""red sandalwood""}, {""id"": 2002, ""name"": ""rise to power""}, {""id"": 2003, ""name"": ""underdog""}, {""id"": 2004, ""name"": ""rivalry""}]",te,Pushpa: The Rise,"A daily-wage labourer rises through the ranks of a red sandalwood smuggling syndicate, making powerful enemies along the way.",72,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2021-01-01,0,179,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Pushpa: The Rise,7.6,3500,Amazon Prime Video
0,"[{""id"": 1000, ""name"": ""Drama""}, {""id"": 1001, ""name"": ""Romance""}]",,8000005,"[{""id"": 2000, ""name"": ""self destruction""}, {""id"": 2001, ""name"": ""love""}, {""id"": 2002, ""name"": ""anger""}, {""id"": 2003, ""name"": ""medical student""}, {""id"": 2004, ""name"": ""heartbreak""}]",te,Arjun Reddy,A short-tempered house surgeon spirals into self-destruction and substance abuse after the love of his life is forced to marry someone else.,55,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2017-01-01,0,186,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Arjun Reddy,7.7,2600,Netflix
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Fantasy""}, {""id"": 1002, ""name"": ""Comedy""}]",,8000006,"[{""id"": 2000, ""name"": ""reincarnation""}, {""id"": 2001, ""name"": ""revenge""}, {""id"": 2002, ""name"": ""fly""}, {""id"": 2003, ""name"": ""love""}, {""id"": 2004, ""name"": ""vfx""}]",te,Eega,"Murdered by a jealous rival, a man is reborn as a housefly and sets out to protect the woman he loved and avenge his own death.",48,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2012-01-01,0,145,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Eega,7.7,2100,Disney+ Hotstar
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Romance""}, {""id"": 1002, ""name"": ""Fantasy""}]",,8000007,"[{""id"": 2000, ""name"": ""reincarnation""}, {""id"": 2001, ""name"": ""warrior""}, {""id"": 2002, ""name"": ""past life""}, {""id"": 2003, ""name"": ""love""}, {""id"": 2004, ""name"": ""period""}]",te,Magadheera,"Lovers separated across centuries are reborn in the present day, where their past life as a warrior and a princess comes back to haunt them.",40,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2009-01-01,0,166,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Magadheera,7.4,1500,Disney+ Hotstar
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Crime""}, {""id"": 1002, ""name"": ""Thriller""}]",,8000008,"[{""id"": 2000, ""name"": ""undercover""}, {""id"": 2001, ""name"": ""gangster""}, {""id"": 2002, ""name"": ""police""}, {""id"": 2003, ""name"": ""twist""}]",te,Pokiri,A ruthless mercenary working for the city's biggest crime lord hides a secret that turns the underworld upside down.,38,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2006-01-01,0,165,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Pokiri,7.3,1300,ZEE5
0,"[{""id"": 1000, ""name"": ""Action""}, {""id"": 1001, ""name"": ""Drama""}, {""id"": 1002, ""name"": ""Comedy""}]",,8000009,"[{""id"": 2000, ""name"": ""swapped at birth""}, {""id"": 2001, ""name"": ""family""}, {""id"": 2002, ""name"": ""rich vs poor""}, {""id"": 2003, ""name"": ""father son""}]",te,Ala Vaikunthapurramuloo,"Raised in a middle-class family, a spirited young man discovers he was swapped at birth and enters the household of a wealthy industrialist.",60,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2020-01-01,0,165,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Ala Vaikunthapurramuloo,7.3,2400,Netflix
0,"[{""id"": 1000, ""name"": ""Drama""}, {""id"": 1001, ""name"": ""Sport""}]",,8000010,"[{""id"": 2000, ""name"": ""cricket""}, {""id"": 2001, ""name"": ""comeback""}, {""id"": 2002, ""name"": ""father son""}, {""id"": 2003, ""name"": ""underdog""}, {""id"": 2004, ""name"": ""redemption""}]",te,Jersey,A failed cricketer in his late thirties makes a comeback to fulfil his young son's wish and prove his worth on the field.,45,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2019-01-01,0,157,"[{""iso_639_1"": ""te"", ""name"": ""\u0c24\u0c46\u0c32\u0c41\u0c17\u0c41""}]",Released,,Jersey,8.0,1800,Netflix
